Type,move_speed,move_time,move_angle,move_acceleration
RUN,5,14.67,24.67,10
RUN,5,11.67,18.67,7
RUN,5.5,14,22,8
RUN,4.5,8.67,16.67,8
RUN,2.5,11.33,20.33,8
RUN,6,13,23,9
RUN,4.5,17.67,29.67,10
OTHER_ACTION,2.5,6,9,3
OTHER_ACTION,1.5,7.67,13.67,6
OTHER_ACTION,3,6.33,11.33,5
OTHER_ACTION,2,4.33,9.33,5
OTHER_ACTION,2,8.33,16.33,8
OTHER_ACTION,4,9,16,7
WALK,0,8,9,1
OTHER_ACTION,0.5,10.33,20.33,10
OTHER_ACTION,1,10.67,16.67,6
OTHER_ACTION,1,3.33,6.33,3
OTHER_ACTION,1.5,6.67,11.67,5
OTHER_ACTION,1,7,14,6
OTHER_ACTION,2.5,6.67,12.67,6
OTHER_ACTION,2.5,9.67,17.67,7
OTHER_ACTION,3,12.67,18.67,5
OTHER_ACTION,3.5,15.33,23.33,8
OTHER_ACTION,3,15,23,7
OTHER_ACTION,3.5,10.67,18.67,7
FALL,0,3.67,5.67,2
FALL,0,4.67,6.67,2
FALL,0,1.33,1.33,0
FALL,0,2.67,2.67,0
FALL,0,2.67,2.67,0
FALL,0,2.33,2.33,0
WALK,0.5,2,3,1
OTHER_ACTION,1.5,12.67,15.67,3
OTHER_ACTION,0.5,17.33,23.33,6
OTHER_ACTION,2.5,16.33,26.33,10
OTHER_ACTION,1,7.33,10.33,3
OTHER_ACTION,0.5,15,19,4
OTHER_ACTION,0,4.67,7.67,3
OTHER_ACTION,0,5.67,10.67,5
OTHER_ACTION,0,3,6,2
FALL,0,8,13,5
FALL,0,6.33,8.33,2
FALL,0,9.67,13.67,3
OTHER_ACTION,2,14.33,21.33,5
OTHER_ACTION,1.5,7.33,17.33,7
OTHER_ACTION,2,8,18,6
OTHER_ACTION,3,11.67,23.67,9
OTHER_ACTION,4,12,23,8
OTHER_ACTION,6,23.67,38.67,10
OTHER_ACTION,2,14.33,25.33,10
OTHER_ACTION,1,11,19,8
OTHER_ACTION,1,20,30,10
OTHER_ACTION,0.5,10.33,17.33,7
OTHER_ACTION,1.5,15.33,24.33,9
RUN,3.5,24,36,10
RUN,6,31,43,10
RUN,5.5,31.67,43.67,10
RUN,10,31.33,42.33,10
OTHER_ACTION,3.5,9.33,14.33,5
OTHER_ACTION,2,12.67,16.67,4
OTHER_ACTION,3.5,15,24,7
OTHER_ACTION,4.5,18,27,8
OTHER_ACTION,5,22.67,32.67,8
OTHER_ACTION,4.5,21,32,8
OTHER_ACTION,4.5,20.67,31.67,9
OTHER_ACTION,1,11.67,18.67,7
OTHER_ACTION,3,15,26,10
RUN,2,10,20,7
RUN,6,20,32,8
RUN,12,30.33,45.33,10
OTHER_ACTION,1,7.67,11.67,4
OTHER_ACTION,1,7.33,12.33,5
OTHER_ACTION,0.5,10.33,16.33,6
OTHER_ACTION,0,8.33,14.33,6
FALL,0,10,15,5
FALL,0,6.33,11.33,5
FALL,0,8.67,12.67,4
FALL,0,13,19,6
FALL,0.5,11,17,5
FALL,0,10.33,17.33,6
FALL,0,7.33,10.33,3
FALL,0.5,8.33,12.33,3
OTHER_ACTION,2.5,19.33,27.33,6
OTHER_ACTION,1,10.33,19.33,4
OTHER_ACTION,2.5,17.33,29.33,9
OTHER_ACTION,0.5,8.33,11.33,3
OTHER_ACTION,1.5,12.33,20.33,5
OTHER_ACTION,2,8.67,16.67,6
OTHER_ACTION,2.5,12.67,19.67,6
OTHER_ACTION,2.5,9.67,16.67,6
OTHER_ACTION,3.5,13.67,21.67,6
OTHER_ACTION,5,11.67,19.67,7
OTHER_ACTION,6,10.67,17.67,5
OTHER_ACTION,6,16,26,7
OTHER_ACTION,2,12.67,18.67,5
OTHER_ACTION,1,7,13,6
OTHER_ACTION,1.5,10,17,7
OTHER_ACTION,1.5,7.67,14.67,7
FALL,0,3.33,4.33,1
FALL,0,7.33,8.33,1
FALL,0,2.33,4.33,2
FALL,0,2.33,5.33,3
FALL,0,1.33,4.33,3
FALL,0,7.67,12.67,5
WALK,0.5,6,7,1
WALK,0.5,7,9,0
OTHER_ACTION,1,12.67,21.67,9
OTHER_ACTION,1,14.67,24.67,10
OTHER_ACTION,1.5,18.33,26.33,8
OTHER_ACTION,2,14,24,10
OTHER_ACTION,2.5,18,32,9
FALL,0,3,7,4
FALL,0,3.67,5.67,2
FALL,0,1.67,2.67,1
FALL,0,3.67,5.67,2
FALL,1.5,1.33,5.33,3
OTHER_ACTION,1.5,25.33,36.33,9
OTHER_ACTION,3,17.67,30.67,10
OTHER_ACTION,4,25,40,10
FALL,0,8.33,13.33,5
FALL,0,9.33,14.33,4
FALL,0,4.33,6.33,2
FALL,0,5.67,8.67,3
FALL,0,5.33,10.33,5
FALL,0,7.67,10.67,3
WALK,0,7,11,2
FALL,0,7,11,4
FALL,0,9.67,14.67,4
FALL,0,7.67,13.67,4
FALL,0,8,11,3
FALL,1.5,9,15,6
OTHER_ACTION,8,18.67,29.67,10
OTHER_ACTION,2.5,6,12,3
OTHER_ACTION,4,12.67,23.67,8
FALL,0.5,5,9,2
FALL,0,12.33,18.33,5
FALL,0,12.67,18.67,6
FALL,0,9.67,14.67,2
RUN,3.5,15.33,22.33,6
RUN,2,16,25,8
OTHER_ACTION,1.5,11.33,16.33,5
OTHER_ACTION,1,13.33,20.33,7
OTHER_ACTION,1,15.33,22.33,7
OTHER_ACTION,0.5,19,26,7
OTHER_ACTION,1.5,15.67,25.67,9
OTHER_ACTION,1.5,17.67,26.67,8
RUN,3.5,18,29,10
FALL,0,5.33,7.33,2
FALL,0,10,13,3
FALL,0,4.67,8.67,4
FALL,0,6.33,9.33,3
OTHER_ACTION,2.5,6,12,5
OTHER_ACTION,4,10.33,18.33,7
OTHER_ACTION,3.5,11,19,8
OTHER_ACTION,6,15.67,25.67,9
OTHER_ACTION,6,22.33,33.33,9
FALL,0,9,18,5
RUN,4,15.67,29.67,10
FALL,0,12.67,13.67,1
FALL,0,8.33,10.33,1
FALL,0,5.67,5.67,0
FALL,0,2.67,3.67,1
OTHER_ACTION,3.5,8.67,16.67,7
OTHER_ACTION,3.5,11.33,18.33,6
OTHER_ACTION,3,11.67,17.67,6
OTHER_ACTION,2,11.33,22.33,7
OTHER_ACTION,1,9.67,15.67,5
OTHER_ACTION,1,9,15,5
OTHER_ACTION,1.5,14,20,5
OTHER_ACTION,1,9,16,5
OTHER_ACTION,1.5,6,13,6
OTHER_ACTION,1,11.67,20.67,9
OTHER_ACTION,1,14.67,22.67,8
OTHER_ACTION,1.5,15.67,25.67,10
OTHER_ACTION,2.5,14.67,22.67,8
OTHER_ACTION,1,14,21,7
WALK,0,5,6,0
RUN,4.5,29,41,10
RUN,4.5,25.67,35.67,9
OTHER_ACTION,2,18,28,8
OTHER_ACTION,2.5,19.67,27.67,6
OTHER_ACTION,3,17,29,10
OTHER_ACTION,2.5,21.67,32.67,9
OTHER_ACTION,1.5,12.33,20.33,7
OTHER_ACTION,1.5,18.33,27.33,8
OTHER_ACTION,6,15.67,24.67,9
OTHER_ACTION,0.5,7.67,13.67,6
OTHER_ACTION,0.5,6.67,9.67,3
OTHER_ACTION,1,7.33,11.33,4
OTHER_ACTION,1,10,15,5
FALL,0,5,7,2
FALL,0,3.33,4.33,1
FALL,0.5,1.67,4.67,3
FALL,0,8.67,11.67,3
FALL,1.5,13.33,19.33,6
OTHER_ACTION,1.5,9,18,8
RUN,5,21.67,34.67,10
RUN,5.5,22.67,35.67,10
RUN,9,24.67,36.67,10
FALL,0,4,6,2
FALL,0,3.33,3.33,0
FALL,0,5.67,8.67,3
FALL,0,10.67,14.67,3
FALL,0,7.33,10.33,2
FALL,0,4.33,7.33,3
FALL,0,7,10,3
FALL,0.5,4,6,2
FALL,0,8,13,4
RUN,2.5,17.33,29.33,10
RUN,4,17,30,10
OTHER_ACTION,5.5,22,34,10
OTHER_ACTION,2,4.67,7.67,3
OTHER_ACTION,2.5,8,13,5
OTHER_ACTION,1.5,10.67,14.67,4
FALL,0,4,6,2
FALL,0,5.33,6.33,1
FALL,0,2.33,3.33,1
FALL,0,2.67,2.67,0
FALL,0,9.33,11.33,2
OTHER_ACTION,1.5,8.67,13.67,4
OTHER_ACTION,1,13.33,19.33,5
OTHER_ACTION,1.5,6,10,4
OTHER_ACTION,1.5,10,17,6
OTHER_ACTION,1,10.33,16.33,5
FALL,0,7.33,10.33,3
FALL,0,6,9,3
OTHER_ACTION,1,11.33,18.33,6
OTHER_ACTION,2,16.33,25.33,7
OTHER_ACTION,2.5,13.33,22.33,8
OTHER_ACTION,3.5,15.67,25.67,9
RUN,3,16.67,29.67,9
RUN,3.5,18,30,10
RUN,4,21.67,32.67,10
FALL,0,7.67,10.67,3
FALL,0.5,6.33,9.33,3
FALL,0,9,14,5
FALL,0,6.67,8.67,2
FALL,0,8.67,12.67,3
FALL,4,5.67,9.67,3
RUN,6.5,21,30,8
FALL,0,4.33,8.33,3
FALL,0,4.33,6.33,1
FALL,0.5,5.33,10.33,3
RUN,6,22.33,30.33,7
RUN,5,29,40,10
RUN,8,20.33,31.33,10
FALL,0,7.67,9.67,1
FALL,0,10,13,3
FALL,1,8,8,0
FALL,0.5,7.67,10.67,1
OTHER_ACTION,1,6,12,5
FALL,0,10,13,3
FALL,0,13.67,16.67,3
FALL,0,7.33,14.33,7
FALL,0,10,16,5
FALL,0,11.67,16.67,5
OTHER_ACTION,0.5,11,16,5
OTHER_ACTION,0.5,8.33,13.33,5
OTHER_ACTION,1,11.33,16.33,5
OTHER_ACTION,0.5,9,16,5
OTHER_ACTION,0.5,9.67,15.67,6
FALL,0,5.67,10.67,4
OTHER_ACTION,2.5,16.33,26.33,9
OTHER_ACTION,3,20.67,30.67,9
OTHER_ACTION,3.5,22.33,30.33,8
OTHER_ACTION,3.5,24,35,10
OTHER_ACTION,4,21.67,32.67,9
OTHER_ACTION,5,45.33,58.33,10
OTHER_ACTION,3,13.33,25.33,10
OTHER_ACTION,3,16.33,27.33,10
OTHER_ACTION,2.5,12,22,9
OTHER_ACTION,3,11.67,22.67,10
OTHER_ACTION,4,18.67,30.67,10
OTHER_ACTION,2,8,18,9
OTHER_ACTION,3,7,15,6
OTHER_ACTION,3,8.67,18.67,7
OTHER_ACTION,3,12.33,23.33,8
OTHER_ACTION,2.5,10.33,20.33,8
OTHER_ACTION,4.5,14.67,26.67,9
OTHER_ACTION,1.5,9.67,15.67,4
OTHER_ACTION,1.5,5,9,3
OTHER_ACTION,2.5,5,10,4
OTHER_ACTION,2,7.67,12.67,5
OTHER_ACTION,1.5,4.67,12.67,6
OTHER_ACTION,1.5,6,8,2
RUN,3,17,23,5
RUN,5,20,28,6
RUN,5.5,33.33,45.33,7
OTHER_ACTION,3,16,25,8
OTHER_ACTION,3,14.67,26.67,7
OTHER_ACTION,5,16.33,26.33,8
OTHER_ACTION,5,36.67,46.67,8
FALL,0,3.67,6.67,2
FALL,0,6.33,11.33,4
FALL,0,6.67,10.67,3
FALL,0,6.33,11.33,4
FALL,0,3.33,7.33,3
FALL,0,3,7,3
FALL,0,4,8,3
RUN,8,17,26,7
FALL,0,1,1,0
FALL,0,2,2,0
FALL,0,2.33,3.33,1
FALL,1,3,3,0
FALL,0,4.33,5.33,1
FALL,0,3.33,5.33,2
FALL,0,4.33,7.33,3
FALL,0,4.33,5.33,1
FALL,0,6.33,7.33,1
FALL,0,3.67,5.67,1
FALL,0,4.33,5.33,1
FALL,0,2.33,5.33,2
FALL,0,9.67,11.67,2
RUN,1.5,7.67,12.67,5
RUN,2,10,17,7
RUN,2.5,7.33,12.33,5
FALL,0,13.33,17.33,4
FALL,0,2.67,4.67,2
FALL,0,4,8,3
FALL,0,2,2,0
FALL,0,5,7,2
FALL,0,2.33,3.33,1
FALL,0,4,6,2
RUN,4.5,18.67,29.67,9
RUN,5,19,29,9
RUN,4,13.67,24.67,10
RUN,7,20.67,31.67,9
FALL,0,4,6,1
FALL,0,4,8,2
FALL,0,3.33,5.33,1
FALL,0,2.67,8.67,4
OTHER_ACTION,3.5,13.33,23.33,8
OTHER_ACTION,1,18.33,29.33,9
OTHER_ACTION,3,14.67,23.67,8
OTHER_ACTION,3,12.67,23.67,10
OTHER_ACTION,6,17.33,28.33,10
OTHER_ACTION,6,23.67,33.67,9
RUN,4,29.33,43.33,9
RUN,7,34,48,10
OTHER_ACTION,4,8.33,14.33,4
OTHER_ACTION,4,9,14,3
OTHER_ACTION,2.5,7,12,3
OTHER_ACTION,2.5,10.33,17.33,5
OTHER_ACTION,3,12,20,6
FALL,0,6.33,9.33,3
FALL,0,5.33,6.33,1
FALL,0,2.33,2.33,0
FALL,0,4,4,0
FALL,0,2,3,1
FALL,0,6,8,2
OTHER_ACTION,1.5,7,14,5
OTHER_ACTION,1,9.67,14.67,4
OTHER_ACTION,1,7.33,14.33,5
OTHER_ACTION,1,7,12,3
OTHER_ACTION,1,5,12,5
FALL,0.5,2.33,4.33,1
FALL,0.5,4.67,5.67,1
FALL,0,3.33,5.33,2
FALL,0,8.67,15.67,5
FALL,1,6.33,10.33,3
FALL,0.5,11,18,4
WALK,0,7,9,2
OTHER_ACTION,1.5,14.33,23.33,7
OTHER_ACTION,1,15.67,26.67,9
OTHER_ACTION,1.5,21.33,33.33,9
OTHER_ACTION,3.5,20.33,32.33,8
OTHER_ACTION,0.5,4.33,8.33,4
OTHER_ACTION,0,7.33,8.33,1
OTHER_ACTION,0,5.67,9.67,4
OTHER_ACTION,0,7,11,4
OTHER_ACTION,0,15.33,18.33,3
OTHER_ACTION,0,10.33,13.33,3
OTHER_ACTION,1.5,13.67,23.67,9
OTHER_ACTION,0.5,16,27,10
OTHER_ACTION,0.5,17.67,27.67,9
OTHER_ACTION,1,22.67,33.67,9
OTHER_ACTION,1,21,31,9
FALL,0,6,9,2
FALL,0,7.67,10.67,3
FALL,0,5.33,10.33,4
FALL,0,3,7,3
WALK,0,4,7,3
RUN,7,24,34,10
RUN,9.5,30,44,10
FALL,0,10,16,6
OTHER_ACTION,0.5,5.33,7.33,1
OTHER_ACTION,0.5,6.33,8.33,2
OTHER_ACTION,0.5,2,2,0
OTHER_ACTION,0.5,3.33,3.33,0
OTHER_ACTION,0.5,4,6,1
FALL,0,9.67,17.67,7
FALL,0.5,8.67,12.67,3
FALL,0,8.67,13.67,5
FALL,0,9,16,7
FALL,0.5,9,18,7
FALL,0,6,8,2
FALL,0,7.33,12.33,4
FALL,0,5.67,8.67,3
OTHER_ACTION,0.5,10.67,17.67,6
OTHER_ACTION,1,11,21,9
OTHER_ACTION,2,10.33,18.33,8
OTHER_ACTION,2.5,11,18,6
RUN,13,44.33,59.33,10
OTHER_ACTION,1.5,15.67,22.67,6
OTHER_ACTION,1.5,18,28,10
OTHER_ACTION,2,19,28,9
OTHER_ACTION,2,19.67,28.67,9
OTHER_ACTION,5,18.67,28.67,9
OTHER_ACTION,3,21.33,32.33,10
OTHER_ACTION,4.5,20.67,32.67,10
OTHER_ACTION,6,13,22,7
OTHER_ACTION,5,22.67,34.67,10
OTHER_ACTION,5,21,34,10
OTHER_ACTION,2,10.67,17.67,5
OTHER_ACTION,1,16.33,24.33,7
OTHER_ACTION,3,9.67,20.67,10
OTHER_ACTION,5.5,19.33,28.33,8
OTHER_ACTION,5,15.33,27.33,10
FALL,0,10,14,4
FALL,0,6,12,5
FALL,0,7.33,13.33,5
FALL,0,5,11,5
FALL,0,3,8,3
FALL,0,5.33,10.33,4
FALL,0,8,16,4
RUN,6,17.33,29.33,10
RUN,3.5,19.33,31.33,10
RUN,6,29.33,41.33,10
RUN,7,28.67,41.67,10
FALL,0,7,11,4
FALL,0,9.33,15.33,5
FALL,0,6.33,11.33,5
FALL,0,8,11,3
OTHER_ACTION,1,3,6,3
OTHER_ACTION,1,2.67,3.67,1
OTHER_ACTION,1.5,3.67,5.67,2
OTHER_ACTION,0.5,2.67,6.67,4
OTHER_ACTION,0,2.33,5.33,2
OTHER_ACTION,2,23.33,32.33,9
RUN,3.5,23.67,35.67,10
OTHER_ACTION,1.5,14.67,21.67,6
FALL,0,4.33,5.33,1
FALL,0,2.67,3.67,1
FALL,0,4.67,7.67,3
FALL,0,3.67,4.67,1
FALL,0,6.33,6.33,0
FALL,0,8,13,5
FALL,0,7.67,11.67,4
FALL,0,6.67,11.67,5
FALL,0.5,3.33,7.33,4
FALL,0,4,9,5
FALL,0,7,9,2
WALK,0,1,2,1
OTHER_ACTION,1,11.67,16.67,5
OTHER_ACTION,2.5,12.67,21.67,9
OTHER_ACTION,2.5,9,15,6
OTHER_ACTION,3.5,6.33,13.33,7
OTHER_ACTION,5,13.67,20.67,6
OTHER_ACTION,4.5,7.67,13.67,6
FALL,0,2.67,4.67,2
FALL,0,6.67,9.67,3
FALL,0,2.67,4.67,2
FALL,0,4.67,4.67,0
RUN,3.5,14.33,27.33,9
RUN,5,17,27,8
OTHER_ACTION,0.5,6.33,10.33,4
OTHER_ACTION,1,9,12,3
OTHER_ACTION,1,13.67,17.67,4
OTHER_ACTION,3,7.67,10.67,1
OTHER_ACTION,2.5,8.67,14.67,4
OTHER_ACTION,3.5,9.33,12.33,2
OTHER_ACTION,3.5,10,12,1
OTHER_ACTION,4,13.67,18.67,2
WALK,0,4,5,1
WALK,0,6,10,4
OTHER_ACTION,2.5,16,23,7
OTHER_ACTION,3,15,25,8
OTHER_ACTION,4,17.67,27.67,9
OTHER_ACTION,2.5,13.67,21.67,6
FALL,0,4,8,3
FALL,0,3.33,4.33,0
FALL,0,2.33,3.33,0
FALL,0,2.67,6.67,3
FALL,0,1,3,2
FALL,0,3,4,1
RUN,8,19.33,30.33,10
OTHER_ACTION,1.5,9.33,16.33,6
FALL,0,4,5,1
FALL,0,3,3,0
FALL,0,3,6,3
FALL,0,5.33,9.33,3
OTHER_ACTION,1,12,22,8
OTHER_ACTION,5.5,25.33,36.33,9
OTHER_ACTION,4,19.67,30.67,9
OTHER_ACTION,5,25.67,39.67,10
OTHER_ACTION,5,24.67,37.67,10
OTHER_ACTION,12,31.33,44.33,10
OTHER_ACTION,1,14.67,22.67,7
OTHER_ACTION,1,11.67,19.67,8
OTHER_ACTION,1,10.67,18.67,8
OTHER_ACTION,2,15,23,8
OTHER_ACTION,2,9.33,17.33,7
OTHER_ACTION,3,15,25,8
RUN,5,13.33,23.33,9
RUN,6,16.67,29.67,9
OTHER_ACTION,0.5,11,18,7
OTHER_ACTION,0.5,8.33,16.33,7
OTHER_ACTION,1,10.67,17.67,6
OTHER_ACTION,4,27.67,39.67,10
OTHER_ACTION,8,19.67,31.67,10
OTHER_ACTION,8,26,40,10
OTHER_ACTION,9,36,49,10
RUN,5,24,38,10
RUN,3,40.33,50.33,10
RUN,4,35,50,10
OTHER_ACTION,2.5,18.67,28.67,8
OTHER_ACTION,2.5,23,33,8
OTHER_ACTION,4.5,23.33,33.33,9
OTHER_ACTION,4.5,28,40,10
OTHER_ACTION,6,22.33,37.33,10
FALL,0,6.33,9.33,3
OTHER_ACTION,3.5,13.67,22.67,7
RUN,5,13.33,23.33,9
RUN,5,16.67,23.67,7
FALL,0,3.67,5.67,2
FALL,0,1,2,1
OTHER_ACTION,2.5,6.33,14.33,6
OTHER_ACTION,2,7,13,5
OTHER_ACTION,5,4.67,11.67,6
OTHER_ACTION,3.5,7,13,5
OTHER_ACTION,4,7.33,14.33,6
OTHER_ACTION,6,5.67,13.67,8
OTHER_ACTION,7,11,19,6
FALL,0,4.33,5.33,1
FALL,0,4.33,8.33,4
FALL,0,1.67,2.67,1
FALL,0,5.33,7.33,2
FALL,0,7,10,2
FALL,0,4.33,8.33,4
OTHER_ACTION,1,9.67,16.67,7
OTHER_ACTION,2.5,17.67,25.67,7
OTHER_ACTION,3,12,20,8
OTHER_ACTION,3.5,9,17,8
OTHER_ACTION,4.5,12.67,20.67,7
RUN,6,21,30,6
OTHER_ACTION,2,15.33,22.33,7
OTHER_ACTION,1.5,9.67,15.67,6
OTHER_ACTION,2,18.33,25.33,7
OTHER_ACTION,2,15,22,7
OTHER_ACTION,2,18,28,8
OTHER_ACTION,2,15.67,24.67,8
FALL,0.5,10.33,15.33,5
FALL,0,5.33,7.33,2
FALL,0,4,6,2
OTHER_ACTION,3,8.33,16.33,7
OTHER_ACTION,2,11,18,6
OTHER_ACTION,2,9,16,7
OTHER_ACTION,2,14,21,6
OTHER_ACTION,3.5,14.67,21.67,6
OTHER_ACTION,2.5,18.33,27.33,8
OTHER_ACTION,3.5,19.33,29.33,9
OTHER_ACTION,3.5,17.33,26.33,8
OTHER_ACTION,4,24,35,8
OTHER_ACTION,4,29,44,10
OTHER_ACTION,10,42,56,9
WALK,0,1,2,0
OTHER_ACTION,1,7.67,15.67,5
OTHER_ACTION,1,7.67,17.67,8
OTHER_ACTION,0,6.67,16.67,8
WALK,0,3,5,1
OTHER_ACTION,1,10.33,18.33,7
OTHER_ACTION,0,6.67,11.67,4
OTHER_ACTION,1,5.67,10.67,4
OTHER_ACTION,0,9.67,14.67,4
OTHER_ACTION,1.5,7.33,14.33,6
OTHER_ACTION,1.5,14.67,24.67,9
OTHER_ACTION,1,11.67,19.67,7
OTHER_ACTION,2,11,20,9
OTHER_ACTION,2,17,28,10
OTHER_ACTION,2,13.33,23.33,9
OTHER_ACTION,2,14.33,24.33,10
FALL,0.5,3.33,5.33,2
FALL,0,4.67,9.67,5
FALL,0,4,6,2
FALL,0,6.67,10.67,4
OTHER_ACTION,1,12,21,8
OTHER_ACTION,1,9.33,19.33,9
OTHER_ACTION,1,13.33,22.33,9
OTHER_ACTION,2,15,22,7
FALL,0,3,7,4
FALL,0,3.67,7.67,4
FALL,0,5,8,3
FALL,0,2.67,5.67,3
WALK,0,5,8,2
OTHER_ACTION,0.5,7.33,12.33,5
OTHER_ACTION,0,7.67,10.67,3
OTHER_ACTION,0.5,4.33,5.33,1
OTHER_ACTION,0.5,5,8,3
OTHER_ACTION,1,2.67,5.67,3
OTHER_ACTION,0.5,4.67,8.67,4
RUN,2,18,27,5
FALL,0,1,2,0
FALL,0,5.67,6.67,0
FALL,0,1,1,0
FALL,0,1,2,0
RUN,5,20.33,32.33,10
RUN,4,25,36,9
RUN,4.5,22.67,33.67,10
FALL,0,2.33,5.33,3
FALL,0,0.67,0.67,0
FALL,0,10,11,0
FALL,0,3.67,6.67,3
FALL,0,2.33,3.33,1
FALL,0,4,6,1
FALL,0,4.67,7.67,3
RUN,3,20.33,32.33,10
RUN,7,46.67,61.67,10
RUN,3.5,21.67,32.67,10
RUN,3,20.67,29.67,8
OTHER_ACTION,0.5,14.67,23.67,8
OTHER_ACTION,2,15,26,9
OTHER_ACTION,7,26.67,38.67,10
RUN,7,31.33,44.33,10
OTHER_ACTION,1.5,10,18,7
OTHER_ACTION,1.5,6.33,11.33,4
OTHER_ACTION,1.5,7.67,11.67,4
OTHER_ACTION,1.5,6.33,11.33,4
OTHER_ACTION,1.5,6.33,11.33,3
OTHER_ACTION,1,8.67,14.67,5
OTHER_ACTION,1,7,11,3
OTHER_ACTION,1,10.67,17.67,6
OTHER_ACTION,3,8.33,15.33,5
OTHER_ACTION,3.5,12,19,5
OTHER_ACTION,6.5,9,19,7
OTHER_ACTION,1,9.67,14.67,5
OTHER_ACTION,2.5,13,20,6
OTHER_ACTION,1,9.67,16.67,6
OTHER_ACTION,3,9.33,18.33,9
OTHER_ACTION,4,11.33,19.33,7
OTHER_ACTION,4.5,13.67,24.67,10
OTHER_ACTION,6.5,19.33,30.33,9
OTHER_ACTION,1.5,7.33,15.33,5
OTHER_ACTION,1.5,11.67,19.67,6
OTHER_ACTION,2,8.33,13.33,3
OTHER_ACTION,2,19.67,26.67,7
OTHER_ACTION,3,9.33,20.33,10
OTHER_ACTION,2,8,20,10
FALL,0,3.67,4.67,1
FALL,0,4.33,7.33,2
RUN,4.5,18.67,27.67,7
OTHER_ACTION,1.5,7.67,15.67,8
OTHER_ACTION,1.5,10,15,5
OTHER_ACTION,1,7.33,14.33,7
FALL,0,8.33,13.33,5
FALL,0.5,9,13,4
FALL,2,11.67,15.67,4
OTHER_ACTION,1,4,6,2
OTHER_ACTION,1,7.33,12.33,4
OTHER_ACTION,0.5,8.67,12.67,4
RUN,4.5,21.33,34.33,10
RUN,10,28.67,41.67,10
RUN,7,21.67,34.67,10
OTHER_ACTION,1,10.67,15.67,5
OTHER_ACTION,1,10.67,14.67,3
OTHER_ACTION,0.5,6,11,5
WALK,0,6,11,5
OTHER_ACTION,2,9.33,16.33,5
OTHER_ACTION,3,8.33,18.33,7
RUN,4.5,17,27,7
RUN,12,41.67,55.67,9
OTHER_ACTION,1,11,18,6
OTHER_ACTION,3,8,14,5
OTHER_ACTION,2.5,10,19,8
OTHER_ACTION,3.5,13,25,10
OTHER_ACTION,2.5,13,22,7
FALL,0,11,17,6
FALL,0,9,15,5
OTHER_ACTION,1,11,19,7
OTHER_ACTION,1,9.67,17.67,7
OTHER_ACTION,4,11,22,9
OTHER_ACTION,0.5,6.67,14.67,8
OTHER_ACTION,0.5,8,17,7
OTHER_ACTION,3,11.67,21.67,9
RUN,4.5,26.67,38.67,10
RUN,6,35.67,47.67,10
RUN,10,55,68,10
FALL,0,2.33,5.33,2
FALL,0,3.33,4.33,0
FALL,0,7,9,2
RUN,4,11.33,20.33,8
RUN,3.5,13,24,9
RUN,4,20.67,34.67,10
RUN,6,31,45,10
FALL,0,10,12,2
FALL,0,6,11,3
FALL,0,5,9,4
FALL,0,11,18,6
FALL,0,7.67,14.67,6
FALL,0,9.33,12.33,2
WALK,0,2,8,5
RUN,4,13.33,24.33,9
RUN,4.5,10,20,8
RUN,4,14.67,25.67,9
RUN,4.5,14,24,8
RUN,2.5,18.33,28.33,8
RUN,2.5,18.33,27.33,7
RUN,2.5,23.67,34.67,10
FALL,0,7.67,10.67,3
FALL,0,12.67,18.67,5
FALL,0,11.67,14.67,3
FALL,0,4.67,6.67,2
FALL,0,8,11,3
FALL,0.5,5.33,7.33,2
WALK,0,4,9,5
RUN,3,19.33,31.33,10
RUN,7,24.67,35.67,9
OTHER_ACTION,2,15.33,27.33,10
OTHER_ACTION,3,23,36,10
OTHER_ACTION,2.5,22,35,10
OTHER_ACTION,3.5,19.33,30.33,10
OTHER_ACTION,4,24.33,36.33,10
OTHER_ACTION,2,8.67,13.67,3
OTHER_ACTION,1,10.67,19.67,6
OTHER_ACTION,3.5,18,23,4
OTHER_ACTION,4.5,24.67,33.67,5
OTHER_ACTION,12,41,56,10
FALL,0,5.67,11.67,6
FALL,0,7,9,2
FALL,0,7,11,4
RUN,4.5,20.33,32.33,10
RUN,5,22.33,34.33,10
RUN,5,24.33,37.33,10
RUN,4,17.67,25.67,8
RUN,4.5,15,23,7
RUN,4.5,26,38,10
RUN,7,28,39,10
RUN,8,28.67,39.67,10
RUN,3.5,23,34,10
RUN,4.5,25.67,37.67,10
RUN,3.5,29,41,10
RUN,5,28,43,10
FALL,0,9.67,13.67,4
FALL,0,6.33,9.33,2
FALL,0,5.67,8.67,2
FALL,0,5.67,10.67,3
FALL,0,1.67,4.67,1
FALL,0,3,6,1
WALK,0.5,7,11,2
FALL,0,10.33,14.33,4
FALL,0,10,17,5
FALL,0,6.67,13.67,5
OTHER_ACTION,4,9.33,12.33,3
OTHER_ACTION,3,12.33,17.33,5
OTHER_ACTION,5,16,22,5
OTHER_ACTION,1,4.67,7.67,3
OTHER_ACTION,1.5,3.67,5.67,2
OTHER_ACTION,2,5.67,8.67,2
OTHER_ACTION,0.5,5.33,10.33,5
OTHER_ACTION,0.5,4,8,3
OTHER_ACTION,0.5,3.33,6.33,3
OTHER_ACTION,0.5,3,5,2
RUN,3.5,18.33,28.33,10
FALL,0,9.67,15.67,2
FALL,0,6.67,15.67,7
FALL,1.5,11,15,3
